arch,benchmark,seed,min_w,low_stress_w,ls_total_routing_area,ls_critical_path_delay_ns,ls_total_wirelength
fc0.15,clma,1,78,102,5148050.0,7.95093,70075
fc0.15,clma,2,82,108,5394260.0,8.14782,69257
fc0.15,clma,3,82,108,5394260.0,8.14533,72678
fc0.15,elliptic,1,62,82,1667590.0,7.41707,21095
fc0.15,elliptic,2,58,76,1570210.0,7.82204,21090
fc0.15,elliptic,3,58,76,1570210.0,7.1616,21310
fc0.15,ex1010,1,70,92,2574540.0,6.43854,36287
fc0.15,ex1010,2,70,92,2574540.0,6.46941,35172
fc0.15,ex1010,3,74,98,2721560.0,6.47168,34833
fc0.15,frisc,1,80,104,2568330.0,8.49352,35560
fc0.15,frisc,2,78,102,2531330.0,8.66971,34700
fc0.15,frisc,3,76,100,2489660.0,8.79306,35955
fc0.15,pdc,1,64,84,2620670.0,6.76651,37679
fc0.15,pdc,2,64,84,2620670.0,6.46902,37194
fc0.15,pdc,3,66,86,2678420.0,6.2918,37544
fc0.15,s38417,1,44,58,1721440.0,5.08215,19862
fc0.15,s38417,2,38,50,1482510.0,4.94864,18909
fc0.15,s38417,3,44,58,1721440.0,4.95813,20079
fc0.15,s38584.1,1,52,68,2668480.0,5.10664,29729
fc0.15,s38584.1,2,52,68,2668480.0,5.12241,29323
fc0.15,s38584.1,3,50,66,2609290.0,5.30349,29344
fc0.15,spla,1,62,82,2089780.0,6.01368,28528
fc0.15,spla,2,62,82,2089780.0,6.14321,28004
fc0.15,spla,3,62,82,2089780.0,5.90233,29286
fc0.5,clma,1,72,94,6979780.0,9.17047,62738
fc0.5,clma,2,72,94,6979780.0,8.60681,64617
fc0.5,clma,3,76,100,7441420.0,8.60301,63070
fc0.5,elliptic,1,50,66,2040780.0,7.81295,18539
fc0.5,elliptic,2,54,72,2185120.0,7.86695,18557
fc0.5,elliptic,3,54,72,2185120.0,8.30062,18906
fc0.5,ex1010,1,62,82,3387280.0,6.95763,32406
fc0.5,ex1010,2,62,82,3387280.0,6.86586,31889
fc0.5,ex1010,3,64,84,3446060.0,7.13311,32499
fc0.5,frisc,1,72,94,3425770.0,8.97206,32110
fc0.5,frisc,2,70,92,3370350.0,9.08653,31878
fc0.5,frisc,3,68,90,3317330.0,9.31382,31361
fc0.5,pdc,1,58,76,3545960.0,7.21602,33361
fc0.5,pdc,2,56,74,3449140.0,7.1095,33666
fc0.5,pdc,3,58,76,3545960.0,7.20835,33488
fc0.5,s38417,1,40,52,2370230.0,5.31344,18988
fc0.5,s38417,2,36,48,2180760.0,5.8006,19044
fc0.5,s38417,3,36,48,2180760.0,5.48882,18895
fc0.5,s38584.1,1,44,58,3379580.0,5.40094,26949
fc0.5,s38584.1,2,44,58,3379580.0,5.28392,27187
fc0.5,s38584.1,3,46,60,3458460.0,5.47147,27572
fc0.5,spla,1,58,76,2893870.0,6.71327,25562
fc0.5,spla,2,56,74,2814890.0,6.80219,26303
fc0.5,spla,3,56,74,2814890.0,6.49048,24946
fc1.0,clma,1,74,98,9627330.0,10.1581,62639
fc1.0,clma,2,74,98,9627330.0,9.61181,63126
fc1.0,clma,3,70,92,9206880.0,9.70428,64091
fc1.0,elliptic,1,50,66,2728190.0,9.26707,18648
fc1.0,elliptic,2,50,66,2728190.0,8.69848,18915
fc1.0,elliptic,3,52,68,2784540.0,8.87029,18735
fc1.0,ex1010,1,68,90,4864360.0,8.05753,31709
fc1.0,ex1010,2,60,78,4328080.0,8.27717,32020
fc1.0,ex1010,3,64,84,4634800.0,8.1851,31584
fc1.0,frisc,1,74,98,4713260.0,9.69892,31186
fc1.0,frisc,2,70,92,4505570.0,9.83923,31767
fc1.0,frisc,3,72,94,4577120.0,10.2785,31023
fc1.0,pdc,1,58,76,4692100.0,8.23294,32249
fc1.0,pdc,2,60,78,4779980.0,8.14789,32786
fc1.0,pdc,3,58,76,4692100.0,7.82513,32394
fc1.0,s38417,1,38,50,3047220.0,6.02014,18577
fc1.0,s38417,2,36,48,2899920.0,5.8352,18626
fc1.0,s38417,3,38,50,3047220.0,5.92767,18345
fc1.0,s38584.1,1,42,56,4367740.0,6.25605,27110
fc1.0,s38584.1,2,46,60,4644700.0,6.03884,26526
fc1.0,s38584.1,3,44,58,4539430.0,6.34814,27536
fc1.0,spla,1,56,74,3756100.0,7.88361,25404
fc1.0,spla,2,54,72,3639190.0,8.29668,26666
fc1.0,spla,3,58,76,3826210.0,7.08683,25365
