arch	circuit	script_params	vtr_flow_elapsed_time	vtr_max_mem_stage	vtr_max_mem	error	odin_synth_time	max_odin_mem	parmys_synth_time	max_parmys_mem	abc_depth	abc_synth_time	abc_cec_time	abc_sec_time	max_abc_mem	ace_time	max_ace_mem	num_clb	num_io	num_memories	num_mult	vpr_status	vpr_revision	vpr_build_info	vpr_compiler	vpr_compiled	hostname	rundir	max_vpr_mem	num_primary_inputs	num_primary_outputs	num_pre_packed_nets	num_pre_packed_blocks	num_netlist_clocks	num_post_packed_nets	num_post_packed_blocks	device_width	device_height	device_grid_tiles	device_limiting_resources	device_name	pack_mem	pack_time	placed_wirelength_est	total_swap	accepted_swap	rejected_swap	aborted_swap	place_mem	place_time	place_quench_time	placed_CPD_est	placed_setup_TNS_est	placed_setup_WNS_est	placed_geomean_nonvirtual_intradomain_critical_path_delay_est	place_delay_matrix_lookup_time	place_quench_timing_analysis_time	place_quench_sta_time	place_total_timing_analysis_time	place_total_sta_time	min_chan_width	routed_wirelength	min_chan_width_route_success_iteration	logic_block_area_total	logic_block_area_used	min_chan_width_routing_area_total	min_chan_width_routing_area_per_tile	min_chan_width_route_time	min_chan_width_total_timing_analysis_time	min_chan_width_total_sta_time	crit_path_num_rr_graph_nodes	crit_path_num_rr_graph_edges	crit_path_collapsed_nodes	crit_path_routed_wirelength	crit_path_route_success_iteration	crit_path_total_nets_routed	crit_path_total_connections_routed	crit_path_total_heap_pushes	crit_path_total_heap_pops	critical_path_delay	geomean_nonvirtual_intradomain_critical_path_delay	setup_TNS	setup_WNS	hold_TNS	hold_WNS	crit_path_routing_area_total	crit_path_routing_area_per_tile	router_lookahead_computation_time	crit_path_route_time	crit_path_create_rr_graph_time	crit_path_create_intra_cluster_rr_graph_time	crit_path_tile_lookahead_computation_time	crit_path_router_lookahead_computation_time	crit_path_total_timing_analysis_time	crit_path_total_sta_time	
k6_N10_mem32K_40nm.xml	sha.v	common	10.11	vpr	81.19 MiB		-1	-1	1.75	49300	21	2.01	-1	-1	44044	-1	-1	168	38	0	0	success	v8.0.0-9695-g109c5adcc	release IPO VTR_ASSERT_LEVEL=2	GNU 11.2.0 on Linux-4.18.0-348.el8.0.2.x86_64 x86_64	2024-02-23T09:38:13	sc110	/home/yliu1047/RC/lab3/part1	83140	38	36	2570	2606	1	1079	242	18	18	324	clb	auto	43.7 MiB	0.61	9990	49940	12113	34960	2867	81.2 MiB	0.53	0.01	12.2668	-2547.69	-12.2668	12.2668	0.05	0.00192047	0.00163007	0.191246	0.162594	-1	12772	24	1.57076e+07	9.05419e+06	4.92243e+06	15192.7	0.38	0.394248	0.34375	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	
k6_N10_mem32K_40nm.xml	sha.v	common_--reorder_rr_graph_nodes_algorithm_random_shuffle	10.04	vpr	80.89 MiB		-1	-1	1.77	49464	21	2.00	-1	-1	44044	-1	-1	168	38	0	0	success	v8.0.0-9695-g109c5adcc	release IPO VTR_ASSERT_LEVEL=2	GNU 11.2.0 on Linux-4.18.0-348.el8.0.2.x86_64 x86_64	2024-02-23T09:38:13	sc110	/home/yliu1047/RC/lab3/part1	82832	38	36	2570	2606	1	1079	242	18	18	324	clb	auto	43.7 MiB	0.63	9990	49940	12113	34960	2867	80.9 MiB	0.49	0.01	12.2668	-2547.69	-12.2668	12.2668	0.05	0.00183734	0.00154588	0.16525	0.139715	-1	12772	24	1.57076e+07	9.05419e+06	4.92243e+06	15192.7	0.38	0.387045	0.337386	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	
k6_N10_mem32K_40nm.xml	spree.v	common	6.66	vpr	71.32 MiB		-1	-1	1.55	35484	16	0.51	-1	-1	38136	-1	-1	77	45	3	1	success	v8.0.0-9695-g109c5adcc	release IPO VTR_ASSERT_LEVEL=2	GNU 11.2.0 on Linux-4.18.0-348.el8.0.2.x86_64 x86_64	2024-02-23T09:38:13	sc110	/home/yliu1047/RC/lab3/part1	73036	45	32	1125	1142	1	748	158	14	14	196	memory	auto	33.3 MiB	0.32	6810	26205	6837	17133	2235	71.3 MiB	0.23	0.00	9.93897	-6497.75	-9.93897	9.93897	0.02	0.000984382	0.000817709	0.0781145	0.0650423	-1	9303	25	9.20055e+06	6.18984e+06	2.86448e+06	14614.7	1.07	0.203049	0.176315	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	
k6_N10_mem32K_40nm.xml	spree.v	common_--reorder_rr_graph_nodes_algorithm_random_shuffle	7.15	vpr	71.36 MiB		-1	-1	1.59	35524	16	0.51	-1	-1	38136	-1	-1	77	45	3	1	success	v8.0.0-9695-g109c5adcc	release IPO VTR_ASSERT_LEVEL=2	GNU 11.2.0 on Linux-4.18.0-348.el8.0.2.x86_64 x86_64	2024-02-23T09:38:13	sc110	/home/yliu1047/RC/lab3/part1	73068	45	32	1125	1142	1	748	158	14	14	196	memory	auto	33.6 MiB	0.31	6810	26205	6837	17133	2235	71.4 MiB	0.24	0.00	9.93897	-6497.75	-9.93897	9.93897	0.03	0.000996325	0.000826816	0.0849662	0.0715038	-1	9303	25	9.20055e+06	6.18984e+06	2.86448e+06	14614.7	1.13	0.202468	0.175842	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	
k6_N10_mem32K_40nm.xml	mkPktMerge.v	common	14.56	vpr	122.61 MiB		-1	-1	0.63	29292	2	0.19	-1	-1	37424	-1	-1	32	311	15	0	success	v8.0.0-9695-g109c5adcc	release IPO VTR_ASSERT_LEVEL=2	GNU 11.2.0 on Linux-4.18.0-348.el8.0.2.x86_64 x86_64	2024-02-23T09:38:13	sc110	/home/yliu1047/RC/lab3/part1	125552	311	156	972	1128	1	953	514	28	28	784	memory	auto	33.1 MiB	0.34	8820	206314	76097	120771	9446	122.6 MiB	0.58	0.01	4.03081	-4026.72	-4.03081	4.03081	0.16	0.00207041	0.00180737	0.22983	0.201018	-1	11734	15	4.25198e+07	9.94461e+06	1.25107e+07	15957.6	4.06	0.350872	0.313014	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	
k6_N10_mem32K_40nm.xml	mkPktMerge.v	common_--reorder_rr_graph_nodes_algorithm_random_shuffle	14.68	vpr	122.61 MiB		-1	-1	0.62	29392	2	0.16	-1	-1	37424	-1	-1	32	311	15	0	success	v8.0.0-9695-g109c5adcc	release IPO VTR_ASSERT_LEVEL=2	GNU 11.2.0 on Linux-4.18.0-348.el8.0.2.x86_64 x86_64	2024-02-23T09:38:13	sc110	/home/yliu1047/RC/lab3/part1	125548	311	156	972	1128	1	953	514	28	28	784	memory	auto	33.1 MiB	0.32	8820	206314	76097	120771	9446	122.6 MiB	0.57	0.01	4.03081	-4026.72	-4.03081	4.03081	0.16	0.0020436	0.001783	0.221468	0.192533	-1	11734	15	4.25198e+07	9.94461e+06	1.25107e+07	15957.6	3.78	0.328489	0.291815	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	
k6_N10_mem32K_40nm.xml	boundtop.v	common	10.84	vpr	69.62 MiB		-1	-1	6.66	35052	4	0.27	-1	-1	37436	-1	-1	63	195	1	0	success	v8.0.0-9695-g109c5adcc	release IPO VTR_ASSERT_LEVEL=2	GNU 11.2.0 on Linux-4.18.0-348.el8.0.2.x86_64 x86_64	2024-02-23T09:38:13	sc110	/home/yliu1047/RC/lab3/part1	71296	195	193	1088	1281	1	597	452	15	15	225	io	auto	31.5 MiB	0.21	2604	128768	31486	86557	10725	69.6 MiB	0.32	0.00	2.22041	-985.353	-2.22041	2.22041	0.03	0.00121211	0.00110816	0.103998	0.094773	-1	3650	17	1.03862e+07	3.94332e+06	3.32489e+06	14777.3	0.15	0.17286	0.159761	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	
k6_N10_mem32K_40nm.xml	boundtop.v	common_--reorder_rr_graph_nodes_algorithm_random_shuffle	11.44	vpr	69.62 MiB		-1	-1	7.14	35136	4	0.29	-1	-1	37436	-1	-1	63	195	1	0	success	v8.0.0-9695-g109c5adcc	release IPO VTR_ASSERT_LEVEL=2	GNU 11.2.0 on Linux-4.18.0-348.el8.0.2.x86_64 x86_64	2024-02-23T09:38:13	sc110	/home/yliu1047/RC/lab3/part1	71292	195	193	1088	1281	1	597	452	15	15	225	io	auto	31.5 MiB	0.20	2604	128768	31486	86557	10725	69.6 MiB	0.31	0.00	2.22041	-985.353	-2.22041	2.22041	0.03	0.00122493	0.0011186	0.101459	0.0922369	-1	3650	17	1.03862e+07	3.94332e+06	3.32489e+06	14777.3	0.15	0.171295	0.158147	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	
k6_N10_mem32K_40nm.xml	diffeq1.v	common	5.16	vpr	69.47 MiB		-1	-1	0.28	26632	15	0.37	-1	-1	37300	-1	-1	52	162	0	5	success	v8.0.0-9695-g109c5adcc	release IPO VTR_ASSERT_LEVEL=2	GNU 11.2.0 on Linux-4.18.0-348.el8.0.2.x86_64 x86_64	2024-02-23T09:38:13	sc110	/home/yliu1047/RC/lab3/part1	71140	162	96	994	935	1	709	315	16	16	256	mult_36	auto	31.3 MiB	0.21	5385	92421	27948	56426	8047	69.5 MiB	0.32	0.01	19.8576	-1590.28	-19.8576	19.8576	0.03	0.00102896	0.000932325	0.104702	0.0951775	-1	7879	18	1.21132e+07	4.78249e+06	3.79414e+06	14820.8	0.46	0.182335	0.16849	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	
k6_N10_mem32K_40nm.xml	diffeq1.v	common_--reorder_rr_graph_nodes_algorithm_random_shuffle	5.19	vpr	69.46 MiB		-1	-1	0.28	26616	15	0.37	-1	-1	37300	-1	-1	52	162	0	5	success	v8.0.0-9695-g109c5adcc	release IPO VTR_ASSERT_LEVEL=2	GNU 11.2.0 on Linux-4.18.0-348.el8.0.2.x86_64 x86_64	2024-02-23T09:38:13	sc110	/home/yliu1047/RC/lab3/part1	71132	162	96	994	935	1	709	315	16	16	256	mult_36	auto	31.3 MiB	0.20	5385	92421	27948	56426	8047	69.5 MiB	0.31	0.00	19.8576	-1590.28	-19.8576	19.8576	0.03	0.0010331	0.000932996	0.100781	0.0913788	-1	7879	18	1.21132e+07	4.78249e+06	3.79414e+06	14820.8	0.43	0.171353	0.157765	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	
