arch	circuit	script_params	vpr_status	total_wirelength	total_runtime	num_clb	min_chan_width	crit_path_delay	
k6_N5_I20_O5_mem32K_40nm.xml	raygentop.v	common	success	21836	6.43	320	-1	-1	
k6_N5_I20_O5_mem32K_40nm.xml	mkSMAdapter4B.v	common	success	16634	5.28	292	-1	-1	
k6_N5_I20_O5_mem32K_40nm.xml	mkSMAdapter4B.v	common	success	16634	5.48	292	-1	-1	
k6_N5_I20_O5_mem32K_40nm.xml	sha.v	common	success	19496	5.39	337	-1	-1	
k6_N5_I20_O5_mem32K_40nm.xml	sha.v	common	success	19496	5.45	337	-1	-1	
k6_N5_I20_O5_mem32K_40nm.xml	spree.v	common	success	12422	3.21	151	-1	-1	
k6_N5_I20_O5_mem32K_40nm.xml	spree.v	common	success	12422	3.28	151	-1	-1	
k6_N5_I20_O5_mem32K_40nm.xml	mkPktMerge.v	common	success	11094	8.03	49	-1	-1	
k6_N5_I20_O5_mem32K_40nm.xml	mkPktMerge.v	common	success	11094	7.64	49	-1	-1	
k6_N5_I20_O5_mem32K_40nm.xml	boundtop.v	common	success	4827	2.21	114	-1	-1	
k6_N5_I20_O5_mem32K_40nm.xml	boundtop.v	common	success	4827	2.23	114	-1	-1	
k6_N5_I20_O5_mem32K_40nm.xml	diffeq1.v	common	success	9006	2.66	98	-1	-1	
k6_N5_I20_O5_mem32K_40nm.xml	diffeq1.v	common	success	9006	2.70	98	-1	-1	
k6_N5_I20_O5_mem32K_40nm.xml	diffeq2.v	common	success	6791	2.36	62	-1	-1	
k6_N5_I20_O5_mem32K_40nm.xml	diffeq2.v	common	success	6791	2.32	62	-1	-1	
k6_N5_I20_O5_mem32K_40nm.xml	ch_intrinsics.v	common	success	1108	1.46	80	-1	-1	
k6_N5_I20_O5_mem32K_40nm.xml	ch_intrinsics.v	common	success	1108	1.48	80	-1	-1	
k6_N5_I20_O5_mem32K_40nm.xml	stereovision3.v	common	success	284	0.74	21	-1	-1	
k6_N5_I20_O5_mem32K_40nm.xml	stereovision3.v	common	success	284	0.78	21	-1	-1	
