arch,benchmark,avg_min_w,avg_routing_area,avg_critical_path_delay_ns,avg_wirelength
L1,clma,70.0,8131720,11.0180,52023
L1,elliptic,50.7,2365670,8.8830,14964
L1,ex1010,61.3,3870870,9.4769,27851
L1,frisc,68.0,3837770,8.8405,27353
L1,pdc,60.7,4251623,9.2757,27819
L1,s38417,32.0,2095320,5.8834,14866
L1,s38584.1,40.7,3493160,6.2707,20796
L1,spla,55.3,3210500,7.9167,22396
L1,GEOMEAN,53.2,3605392,8.2857,24111
L16,clma,222.0,8149800,14.3101,146732
L16,elliptic,183.3,2740070,10.0502,36578
L16,ex1010,188.7,3896603,9.4695,63762
L16,frisc,216.0,3953150,12.7887,62230
L16,pdc,202.0,4547695,9.1267,67601
L16,s38417,158.7,3348213,7.7340,41565
L16,s38584.1,178.7,4893513,8.6094,65442
L16,spla,206.7,3805097,8.1677,48249
L16,GEOMEAN,193.5,4203791,9.8196,60889
L4,clma,81.3,5119740,8.1759,70193
L4,elliptic,61.3,1584343,7.6574,21669
L4,ex1010,80.0,2757227,6.5129,34947
L4,frisc,82.0,2543320,8.6485,35178
L4,pdc,66.0,2581880,6.8847,37385
L4,s38417,43.3,1614713,5.0309,20402
L4,s38584.1,50.7,2540447,5.0605,29597
L4,spla,64.7,2084297,5.9988,28369
L4,GEOMEAN,64.7,2439827,6.6243,32343
